Title,Type,URL1,URL2,URL3
Russian Terminator,X,,,
Ninja Vengeance,X,,,
Never Too Young to Die,X,,,
The New Gladiators,X,,,
Exterminator 2,X,,,
The Aftermath,X,,,
The Killer Eye,X,,,
They Bite,X,,,
Xtro,X,,,
Deadly Prey,X,,,
Hard Ticket to Hawaii,X,,,
Miami Connection,X,,,
Candid Candid Camera Vol. 6,Wheel of the Worst,,,
Let's Rap Fire Safety,Wheel of the Worst,,,
The Dance of Birth,Wheel of the Worst,,,
Robot Jox,X,,,
R.O.T.O.R.,X,,,
The Vindicator (sort of),X,,,
Cyber Tracker,X,,,
Playing Dangerous,X,,,
Shapeshifter,X,,,
Thunderpants,X,,,
Key Matters,Wheel of the Worst,,,
Gary Coleman For Safety's Sake,Wheel of the Worst,,,
The Family Guide to the Internet,Wheel of the Worst,,,
V-World Matrix,X,,,
The Amazing Bulk,X,,,
Gymkata,X,,,
Bloody Birthday,X,,,
Crazy Fat Ethel II,X,,,
Psycho from Texas,X,,,
Night Beast,Halloween Episode,,,
Trick or Treat,Halloween Episode,,,
Skull Forest,Halloween Episode,,,
Tree Stand Safety,Wheel of the Worst,,,
Where Did I Come From?,Wheel of the Worst,,,
Incredible Instant Adoring Boyfriend,Wheel of the Worst,,,
Playing Dangerous 2,X,,,
The Exterminator,X,,,
The Deadliest Prey,X,,,
Elves,Christmas Episode,,,
Santa Claus,Christmas Episode,,,
Christmas Vacation 2,Christmas Episode,,,
Robo-C.H.I.C.,X,,,
Alien Seed,X,,,
Yor: The Hunter From the Future,X,,,
Kitten Komotion,Wheel of the Worst,,,
Dunkin' Donuts: Finishing Video,Wheel of the Worst,,,
The Shoji Tabuchi Show,Wheel of the Worst,,,
"Looking Great, Feeling Great",Wheel of the Worst,,,
Supergirl,X,,,
Captain America,X,,,
The Fantastic Four,X,,,
Ninja III: The Domination,Ninja Movies,,,
Ninja Warriors,Ninja Movies,,,
Lethal Ninja,Ninja Movies,,,
Fred Levine's Cleared for Takeoff,Wheel of the Worst,,,
Tales from Genesis Space,Wheel of the Worst,,,
SOS,Wheel of the Worst,,,
Ghetto Blaster,X,,,
Terror in Beverly Hills,X,,,
Killing American Style,X,,,
High Voltage,Battle of the Genres,,,
Death Spa,Battle of the Genres,,,
Space Mutiny,Battle of the Genres,,,
Shakma,X,,,
Python 2,X,,,
Beaks: The Movie,X,,,
How Can I Tell If I'm Really in Love,Wheel of the Worst,,,
The Osteoporosis Dance,Wheel of the Worst,,,
American Flatulators,Wheel of the Worst,,,
Theodore Rex,X,,,
Carnosaur,X,,,
Tammy and the T-Rex,X,,,
The Item,Halloween Episode,,,
The Crawlers,Halloween Episode,,,
Bloodlock,Halloween Episode,,,
Ice Dams: Causes Combats & Cures,Wheel of the Worst,,,
